occupancy_date,id,occupied_beds
2021-07-06,7299404,NA
2021-07-06,7299405,11
2021-07-06,7299406,8
2021-07-06,7299407,6
2021-07-06,7299408,24
2021-07-07,7299409,NA
2021-07-07,7299410,NA
2021-07-07,7299411,NA
2021-07-07,7299412,7
2021-07-07,7299413,NA
2021-07-07,7299414,NA
2021-07-07,7299415,NA
2021-07-07,7299416,NA
2021-07-07,7299417,NA
2021-07-07,7299418,NA
2021-07-07,7299419,NA
2021-07-07,7299420,25
2021-07-07,7299421,15
2021-07-07,7299422,NA
2021-07-07,7299423,NA
2021-07-07,7299424,NA
2021-07-07,7299425,NA
2021-07-07,7299426,12
2021-07-07,7299427,NA
2021-07-07,7299428,NA
2021-07-07,7299429,NA
2021-07-07,7299430,6
2021-07-07,7299431,NA
2021-07-07,7299432,NA
2021-07-07,7299433,NA
2021-07-07,7299434,32
2021-07-07,7299435,NA
2021-07-07,7299436,23
2021-07-07,7299437,NA
2021-07-07,7299438,NA
2021-07-07,7299439,NA
2021-07-07,7299440,NA
2021-07-07,7299441,65
2021-07-07,7299442,50
2021-07-07,7299443,34
2021-07-07,7299444,53
2021-07-07,7299445,59
2021-07-07,7299446,17
2021-07-07,7299447,8
2021-07-07,7299448,47
2021-07-07,7299449,14
2021-07-07,7299450,NA
2021-07-07,7299451,2
2021-07-07,7299452,3
2021-07-07,7299453,55
2021-07-07,7299454,21
2021-07-07,7299455,1
2021-07-07,7299456,NA
2021-07-07,7299457,52
2021-07-07,7299458,26
2021-07-07,7299459,44
2021-07-07,7299460,47
2021-07-07,7299461,NA
2021-07-07,7299462,41
2021-07-07,7299463,NA
2021-07-07,7299464,NA
2021-07-07,7299465,22
2021-07-07,7299466,41
2021-07-07,7299467,NA
2021-07-07,7299468,16
2021-07-07,7299469,16
2021-07-07,7299470,3
2021-07-07,7299471,11
2021-07-07,7299472,31
2021-07-07,7299473,23
2021-07-07,7299474,NA
2021-07-07,7299475,25
2021-07-07,7299476,23
2021-07-07,7299477,25
2021-07-07,7299478,NA
2021-07-07,7299479,45
2021-07-07,7299480,1
2021-07-07,7299481,21
2021-07-07,7299482,21
2021-07-07,7299483,25
2021-07-07,7299484,5
2021-07-07,7299485,NA
2021-07-07,7299486,44
2021-07-07,7299487,NA
2021-07-07,7299488,47
2021-07-07,7299489,19
2021-07-07,7299490,48
2021-07-07,7299491,31
2021-07-07,7299492,43
2021-07-07,7299493,NA
2021-07-07,7299494,NA
2021-07-07,7299495,124
2021-07-07,7299496,37
2021-07-07,7299497,90
2021-07-07,7299498,33
2021-07-07,7299499,3
2021-07-07,7299500,75
2021-07-07,7299501,18
2021-07-07,7299502,NA
2021-07-07,7299503,15
2021-07-07,7299504,26
2021-07-07,7299505,35
2021-07-07,7299506,15
2021-07-07,7299507,9
2021-07-07,7299508,NA
2021-07-07,7299509,11
2021-07-07,7299510,14
2021-07-07,7299511,16
2021-07-07,7299512,12
2021-07-07,7299513,24
2021-07-07,7299514,18
2021-07-07,7299515,43
2021-07-07,7299516,NA
2021-07-07,7299517,25
2021-07-07,7299518,NA
2021-07-07,7299519,NA
2021-07-07,7299520,58
2021-07-07,7299521,NA
2021-07-07,7299522,48
2021-07-07,7299523,NA
2021-07-07,7299524,53
2021-07-07,7299525,NA
2021-07-07,7299526,165
2021-07-07,7299527,34
2021-07-07,7299528,NA
2021-07-07,7299529,18
2021-07-07,7299530,10
2021-07-07,7299531,40
2021-07-07,7299532,NA
2021-07-07,7299533,5
